sample/otus	phylum	abundance
otu1	Bacteroidia	20605
otu10	Bacteroidia	8263
otu22	Bacteroidia	6087
otu41	Bacteroidia	5757
otu125	Bacteroidia	2319
otu86	Bacteroidia	2235
otu164	Bacteroidia	1873
otu75	Bacteroidia	1835
otu146	Bacteroidia	1798
otu27	Bacteroidia	1766
otu24	Bacteroidia	1684
otu2	Bacteroidia	1298
otu29	Flavobacteriia	1220
otu79	Flavobacteriia	1200
otu25	Flavobacteriia	1189
otu87	Flavobacteriia	1120
otu3	Cytophagia	1119
otu93	Cytophagia	1107
otu44	Cytophagia	887
otu62	Cytophagia	718
otu26	Clostridia	692
otu85	Clostridia	676
otu46	Clostridia	646
otu23	Clostridia	502
otu95	Clostridia	467
otu76	Clostridia	398
otu28	Clostridia	376
otu123	Clostridia	351
otu4	Clostridia	328
otu12	Clostridia	301
otu105	Clostridia	293
otu43	Clostridia	250
otu58	Clostridia	212
otu126	Clostridia	206
otu127	Clostridia	179
otu11	Clostridia	167
otu115	Clostridia	166
otu47	Clostridia	150
otu131	Clostridia	148
otu81	Clostridia	136
otu189	Clostridia	129
otu160	Clostridia	121
otu48	Clostridia	116
otu30	Clostridia	98
otu114	Clostridia	90
otu42	Clostridia	88
otu187	Clostridia	85
otu133	Clostridia	84
otu31	Clostridia	48
otu88	Clostridia	45
otu101	Clostridia	43
otu169	Clostridia	42
otu45	Clostridia	40
otu90	Clostridia	40
otu5	Clostridia	38
otu6	Clostridia	34
otu33	Clostridia	32
otu78	Clostridia	31
otu8	Clostridia	28
otu89	Clostridia	28
otu66	Clostridia	27
otu192	Clostridia	26
otu109	Clostridia	24
otu67	Clostridia	22
otu60	Clostridia	20
otu162	Clostridia	19
otu163	Clostridia	15
otu94	Clostridia	13
otu188	Clostridia	13
otu77	Clostridia	12
otu96	Clostridia	9
otu110	Clostridia	9
otu63	Clostridia	8
otu112	Erysipelotrichia	8
otu134	Erysipelotrichia	8
otu51	Erysipelotrichia	7
otu59	Erysipelotrichia	7
otu100	Erysipelotrichia	7
otu37	Erysipelotrichia	6
otu82	Erysipelotrichia	6
otu97	Erysipelotrichia	6
otu167	Erysipelotrichia	6
otu198	Erysipelotrichia	6
otu132	Negativicutes	5
otu165	Negativicutes	5
otu168	Negativicutes	5
otu32	Negativicutes	4
otu55	Negativicutes	4
otu99	Negativicutes	4
otu106	Negativicutes	4
otu116	Negativicutes	3
otu137	Negativicutes	3
otu154	Negativicutes	3
otu171	Bacilli	3
otu193	Bacilli	3
otu203	Bacilli	3
otu52	Bacilli	2
otu54	Bacilli	2
otu74	Bacilli	2
otu102	Bacilli	2
otu130	Bacilli	2
otu159	Bacilli	2
otu197	Bacilli	2
otu199	Bacilli	2
otu7	Bacilli	1
otu9	Bacilli	1
otu20	Bacilli	1
otu34	Betaproteobacteria	1
otu40	Betaproteobacteria	1
otu49	Betaproteobacteria	1
otu50	Betaproteobacteria	1
otu53	Betaproteobacteria	1
otu61	Betaproteobacteria	1
otu68	Betaproteobacteria	1
otu70	Betaproteobacteria	1
otu72	Betaproteobacteria	1
otu73	Betaproteobacteria	1
otu80	Betaproteobacteria	1
otu107	Betaproteobacteria	1
otu108	Betaproteobacteria	1
otu111	Betaproteobacteria	1
otu147	Gammaproteobacteria	1
otu151	Gammaproteobacteria	1
otu152	Gammaproteobacteria	1
otu157	Gammaproteobacteria	1
otu158	Gammaproteobacteria	1
otu161	Gammaproteobacteria	1
otu166	Gammaproteobacteria	1
otu170	Gammaproteobacteria	1
otu172	Gammaproteobacteria	1
otu183	Gammaproteobacteria	1
otu186	Gammaproteobacteria	1
otu200	Gammaproteobacteria	1
