source	target	weight
1	25	1
1	35	1
1	58	1
2	15	1
2	68	1
2	105	1
4	14	1
4	44	1
4	93	1
5	16	1
5	25	1
5	44	1
5	46	1
5	50	1
5	59	1
5	71	1
5	76	1
5	90	1
5	103	1
5	104	1
5	116	1
5	119	1
11	87	1
11	110	1
12	16	1
12	19	1
12	34	1
12	50	1
12	60	1
12	65	1
12	82	1
12	104	1
12	119	1
13	41	1
13	71	1
13	89	1
13	90	1
15	68	1
15	105	1
16	34	1
16	44	1
16	46	1
16	50	1
16	60	1
16	76	1
16	82	1
16	84	1
16	103	1
16	104	1
16	116	1
16	119	1
19	50	1
19	60	1
19	65	1
19	82	1
19	119	1
23	71	1
23	89	1
23	99	1
23	123	1
23	126	1
24	47	1
24	86	1
25	35	1
25	59	1
27	32	1
27	62	1
27	105	1
27	120	1
28	43	1
29	38	1
29	48	1
29	114	1
29	125	1
31	77	1
32	75	1
32	95	1
32	105	1
34	50	1
34	60	1
34	65	1
34	82	1
34	119	1
35	58	1
35	59	1
35	125	1
38	43	1
38	48	1
38	74	1
38	114	1
41	71	1
41	89	1
43	109	1
43	125	1
44	46	1
44	59	1
44	76	1
44	82	1
44	90	1
44	103	1
44	104	1
44	116	1
44	119	1
45	71	1
46	59	1
46	76	1
46	82	1
46	90	1
46	103	1
46	104	1
46	116	1
46	119	1
46	125	1
47	86	1
48	114	1
48	127	1
50	60	1
50	65	1
50	82	1
50	90	1
50	103	1
50	104	1
50	119	1
51	54	1
52	67	1
54	62	1
56	92	1
57	122	1
59	103	1
59	116	1
59	125	1
60	65	1
60	82	1
61	72	1
62	105	1
62	112	1
62	120	1
63	107	1
65	82	1
66	125	1
68	75	1
68	105	1
69	78	1
71	82	1
71	89	1
71	90	1
71	104	1
74	114	1
75	105	1
76	82	1
76	90	1
76	103	1
76	104	1
76	116	1
76	119	1
79	124	1
82	103	1
82	104	1
82	116	1
82	119	1
87	110	1
88	114	1
89	90	1
90	103	1
90	104	1
90	116	1
90	119	1
93	117	1
95	112	1
99	123	1
99	126	1
103	104	1
103	116	1
103	119	1
104	116	1
104	119	1
116	119	1
123	126	1
