source	target	weight
1	25	0.0508858678775105
1	35	0.035316477518867
1	58	0.284564766245255
2	15	0.392404524899999
2	68	0.177990875976325
2	105	0.0786292006600353
4	14	0.0194554347870722
4	44	-7.56442493249702e-05
4	93	0.0412869353470215
5	16	0.167719595565402
5	25	-0.0107404026446498
5	44	0.430574089447588
5	46	0.408433087001456
5	50	0.126180660125261
5	59	-0.0361143983225413
5	71	-0.0114696672052812
5	76	0.41726745767619
5	90	0.443774950023714
5	103	0.443343036979219
5	104	0.281145654183814
5	116	0.42381018261643
5	119	0.162930565494278
11	87	0.157415574882243
11	110	0.101905597493413
12	16	0.148515359179811
12	19	0.105380129851653
12	34	0.25564224901325
12	50	0.209763104256212
12	60	0.257379847455626
12	65	0.24901656919132
12	82	0.312743690120596
12	104	0.151193538886992
12	119	0.227134163539427
13	41	0.346591159195025
13	71	0.255003630189081
13	89	0.282612340717554
13	90	-0.00703994804491858
15	68	0.159596463951648
15	105	0.0693782886427667
16	34	0.109720719162237
16	44	0.178949452719347
16	46	0.194634446721506
16	50	0.168755987008432
16	60	0.1203964824661
16	76	0.170936043811242
16	82	0.196289839608991
16	84	0.00794756129483936
16	103	0.161093396130563
16	104	0.259238343635317
16	116	0.184429363488456
16	119	0.206660003526363
19	50	0.186094974462198
19	60	0.0738527361504872
19	65	0.0979983517960199
19	82	0.112110307422204
19	119	0.0943887128807548
23	71	0.0420120782109217
23	89	0.0841361040718204
23	99	0.0763369724521875
23	123	0.166685756221264
23	126	0.122325480551379
24	47	0.27116457821552
24	86	0.226060982419967
25	35	0.194609350166768
25	59	0.29647569792151
27	32	0.029292584967448
27	62	0.0140981491683486
27	105	0.00725485903151969
27	120	0.2995514175643
28	43	0.075020538924336
29	38	0.137791533161651
29	48	0.0519739680441952
29	114	0.0432968759479135
29	125	-0.0167347260966806
31	77	0.255303075008
32	75	0.0405484197365045
32	95	0.27784083668547
32	105	0.0213567707924655
34	50	0.249598569578749
34	60	0.416596970551381
34	65	0.42322547762709
34	82	0.188603844850415
34	119	0.115908690957018
35	58	0.0637699723542248
35	59	0.12503282349474
35	125	0.181817358274452
38	43	-0.0005203171202847
38	48	0.132944453823216
38	74	0.0467991314231672
38	114	0.0707130203989179
41	71	0.26003517212348
41	89	0.241770122041853
43	109	0.057773306568478
43	125	0.00112838186818245
44	46	0.41788740204997
44	59	-0.0368940909224803
44	76	0.427089346795116
44	82	0.124029741647079
44	90	0.416116233226516
44	103	0.43070835597753
44	104	0.287265885489142
44	116	0.431352780132111
44	119	0.17256248926278
45	71	0.202622044020817
46	59	-0.0290006594327054
46	76	0.415140562672052
46	82	0.120582356687593
46	90	0.392247179933328
46	103	0.406895352578923
46	104	0.270911195235023
46	116	0.420742629163923
46	119	0.154839371174613
46	125	-0.002424228250226
47	86	0.204493677548038
48	114	0.0183023467176567
48	127	0.0173313128203597
50	60	0.21202090334448
50	65	0.196451696257024
50	82	0.290602225274093
50	90	0.134570797256671
50	103	0.134635144639782
50	104	0.241848460058978
50	119	0.189720323699052
51	54	0.155478001111895
52	67	0.0344089414596811
54	62	0.125665217243529
56	92	0.115478236981044
57	122	0.0269631579445411
59	103	-0.0386141962974784
59	116	-0.0358499995563812
59	125	0.0613864518265023
60	65	0.410888491576477
60	82	0.177427238195579
61	72	0.0359559468374089
62	105	0.0538387570425516
62	112	0.124909820732495
62	120	0.0263526002048363
63	107	0.0683225419173922
65	82	0.149652931639935
66	125	0.033022939640831
68	75	0.0428153619041085
68	105	0.0744206198191109
69	78	0.0646921969882249
71	82	-0.0105009697498673
71	89	0.288229850335896
71	90	-0.0114820947780343
71	104	-0.00945176891254186
74	114	0.0130878738438364
75	105	0.114345683283243
76	82	0.116554649954887
76	90	0.403722938728605
76	103	0.418985107690618
76	104	0.266327139360546
76	116	0.427034929367901
76	119	0.160066369098262
79	124	0.0426259294918073
82	103	0.123189723750889
82	104	0.252092211294527
82	116	0.135437836518702
82	119	0.224389282982714
87	110	0.176367402693756
88	114	0.0614542088297525
89	90	-0.00927879389811802
90	103	0.441815537716281
90	104	0.264687714596474
90	116	0.410573338421433
90	119	0.146115686675602
93	117	0.0204401264368461
95	112	0.0510092889490754
99	123	0.181439026999871
99	126	0.199774829398044
103	104	0.278331875405912
103	116	0.425643482705651
103	119	0.168252468447753
104	116	0.287347117142372
104	119	0.255158589428221
116	119	0.173931959434179
123	126	0.223064043531374
