Elements	Phylum	Class	Order	Family
Prevotella	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
Alloprevotella	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
Paraprevotella	Bacteroidetes	Bacteroidia	Bacteroidales	Prevotellaceae
Bacteroides	Bacteroidetes	Bacteroidia	Bacteroidales	Bacteroidaceae
Parabacteroides	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
Odoribacter	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
Butyricimonas	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
Barnesiella	Bacteroidetes	Bacteroidia	Bacteroidales	Porphyromonadaceae
Alistipes	Bacteroidetes	Bacteroidia	Bacteroidales	Rikenellaceae
Bifidobacterium	Actinobacteria	Actinobacteria	Bifidobacteriales	Bifidobacteriaceae
Rothia	Actinobacteria	Actinobacteria	Actinomycetales	Micrococcaceae
Corynebacterium	Actinobacteria	Actinobacteria	Actinomycetales	Corynebacteriaceae
Actinomyces	Actinobacteria	Actinobacteria	Actinomycetales	Actinomycetaceae
Collinsella	Actinobacteria	Actinobacteria	Coriobacteriales	Coriobacteriaceae
Haemophilus	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
Actinobacillus	Proteobacteria	Gammaproteobacteria	Pasteurellales	Pasteurellaceae
Succinivibrio	Proteobacteria	Gammaproteobacteria	Aeromonadales	Succinivibrionaceae
Aeromonas	Proteobacteria	Gammaproteobacteria	Aeromonadales	Aeromonadaceae
Escherichia_Shigella	Proteobacteria	Gammaproteobacteria	Enterobacteriales	Enterobacteriaceae
Pseudomonas	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Pseudomonadaceae
Acinetobacter	Proteobacteria	Gammaproteobacteria	Pseudomonadales	Moraxellaceae
Sutterella	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae
Parasutterella	Proteobacteria	Betaproteobacteria	Burkholderiales	Sutterellaceae
Roseateles	Proteobacteria	Betaproteobacteria	Burkholderiales	Comamonadaceae
Methylophilus	Proteobacteria	Betaproteobacteria	Methylophilales	Methylophilaceae
Neisseria	Proteobacteria	Betaproteobacteria	Neisseriales	Neisseriaceae
Desulfovibrio	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
Bilophila	Proteobacteria	Deltaproteobacteria	Desulfovibrionales	Desulfovibrionaceae
Faecalibacterium	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Ruminococcus	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Gemmiger	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Oscillibacter	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Butyricicoccus	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Clostridium_IV	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Flavonifractor	Firmicutes	Clostridia	Clostridiales	Ruminococcaceae
Roseburia	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Coprococcus	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Ruminococcus2	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Lachnospiracea_incertae_sedis	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Anaerostipes	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
Blautia	Firmicutes	Clostridia	Clostridiales	Lachnospiraceae
